2016-05-04 16:11:39,225 [1] DEBUG IRAPI [c:\Git\Code\IRAPI\App_Start\WebApiConfig.cs][25][Register]	##WebApiConfig.Register##
2016-05-04 16:27:03,882 [32] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][57][ExecuteAsync]	##Master.ExecuteAsync## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":null,"biletoUuid":null,"Guid":null}
2016-05-04 16:27:03,885 [32] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][61][ExecuteAsync]	##Master.ExecuteAsync.AtualizarSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":null,"biletoUuid":null,"Guid":null}
2016-05-04 16:27:03,906 [32] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][203][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":null,"biletoUuid":null,"Guid":null}
2016-05-04 16:27:03,998 [32] DEBUG IRAPI [c:\Git\Code\IRCore.DataAccess.ADO\APIUsuarioADO.cs][226][AtualizarSessao]	##Master.ExecuteAsync.AtualizandoSessionData.SUCCESS## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":null,"biletoUuid":null,"Guid":null}
2016-05-04 16:27:04,441 [25] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][195][DeleteAuth]	##Delete.Auth## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:05,938 [25] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][57][ExecuteAsync]	##Master.ExecuteAsync## SESSION_DATA {"EntregaControleID":0,"ClienteEnderecoID":0,"PDVID":0,"ClienteID":0,"SessionID":"4babm44h3a3eb2kwjrujz3oi","UsuarioID":1657,"LojaID":2,"CanalID":2,"ValesIngressoID":null,"EnderecoTemp":null,"SiteID":1,"TokenPayPal":null,"biletoToken":null,"biletoUuid":null,"Guid":null}
2016-05-04 16:27:06,318 [32] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:06,427 [32] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:07,617 [38] INFO  IRAPI [c:\Git\Code\IRAPI\Controllers\ClienteController.cs][1020][GetLogado]	##Get.UsuarioLogado## SESSION 4babm44h3a3eb2kwjrujz3oi
2016-05-04 16:27:07,633 [38] DEBUG IRAPI [c:\Git\Code\IRAPI\Controllers\MasterApiController.cs][167][CarregarCliente]	##CarregarCliente## SESSION 4babm44h3a3eb2kwjrujz3oi
